Loading ArcFace recognition model...
  Input shape: ['None', 3, 112, 112]
  Model loaded!
Total observations to re-embed: 156194
[32200/156194] success=32200 failed=0 rate=7.4/s ETA=16689s
[32400/156194] success=32400 failed=0 rate=7.4/s ETA=16653s
[32600/156194] success=32600 failed=0 rate=7.4/s ETA=16620s
[32800/156194] success=32800 failed=0 rate=7.4/s ETA=16587s
[33000/156194] success=33000 failed=0 rate=7.4/s ETA=16555s
[33200/156194] success=33200 failed=0 rate=7.4/s ETA=16520s
[33400/156194] success=33400 failed=0 rate=7.4/s ETA=16485s
[33600/156194] success=33600 failed=0 rate=7.5/s ETA=16452s
[33800/156194] success=33800 failed=0 rate=7.5/s ETA=16419s
[34000/156194] success=34000 failed=0 rate=7.5/s ETA=16385s
[34200/156194] success=34200 failed=0 rate=7.5/s ETA=16351s
[34400/156194] success=34400 failed=0 rate=7.5/s ETA=16318s
[34600/156194] success=34600 failed=0 rate=7.5/s ETA=16284s
[34800/156194] success=34800 failed=0 rate=7.5/s ETA=16250s
[35000/156194] success=35000 failed=0 rate=7.5/s ETA=16216s
[35200/156194] success=35200 failed=0 rate=7.5/s ETA=16196s
[35400/156194] success=35400 failed=0 rate=7.5/s ETA=16142s
[35600/156194] success=35600 failed=0 rate=7.5/s ETA=16108s
[35800/156194] success=35800 failed=0 rate=7.5/s ETA=16078s
[36000/156194] success=36000 failed=0 rate=7.5/s ETA=16061s
[36200/156194] success=36200 failed=0 rate=7.5/s ETA=16023s
[36400/156194] success=36400 failed=0 rate=7.5/s ETA=15989s
[36600/156194] success=36600 failed=0 rate=7.5/s ETA=15985s
[36800/156194] success=36800 failed=0 rate=7.5/s ETA=15960s
[37000/156194] success=37000 failed=0 rate=7.5/s ETA=15912s
[37200/156194] success=37200 failed=0 rate=7.5/s ETA=15900s
[37400/156194] success=37400 failed=0 rate=7.5/s ETA=15881s
[37600/156194] success=37600 failed=0 rate=7.5/s ETA=15850s
[37800/156194] success=37800 failed=0 rate=7.5/s ETA=15830s
[38000/156194] success=38000 failed=0 rate=7.5/s ETA=15796s
[38200/156194] success=38200 failed=0 rate=7.5/s ETA=15763s
[38400/156194] success=38400 failed=0 rate=7.5/s ETA=15722s
[38600/156194] success=38600 failed=0 rate=7.5/s ETA=15708s
[38800/156194] success=38800 failed=0 rate=7.5/s ETA=15700s
[39000/156194] success=39000 failed=0 rate=7.5/s ETA=15686s
[39200/156194] success=39200 failed=0 rate=7.5/s ETA=15687s
[39400/156194] success=39400 failed=0 rate=7.5/s ETA=15649s
[39600/156194] success=39600 failed=0 rate=7.5/s ETA=15604s
[39800/156194] success=39800 failed=0 rate=7.5/s ETA=15591s
[40000/156194] success=40000 failed=0 rate=7.5/s ETA=15590s
[40200/156194] success=40200 failed=0 rate=7.5/s ETA=15547s
[40400/156194] success=40400 failed=0 rate=7.5/s ETA=15522s
[40600/156194] success=40600 failed=0 rate=7.5/s ETA=15495s
[40800/156194] success=40800 failed=0 rate=7.5/s ETA=15451s
[41000/156194] success=41000 failed=0 rate=7.5/s ETA=15434s
[41200/156194] success=41200 failed=0 rate=7.5/s ETA=15388s
[41400/156194] success=41400 failed=0 rate=7.5/s ETA=15356s
[41600/156194] success=41600 failed=0 rate=7.5/s ETA=15330s
[41800/156194] success=41800 failed=0 rate=7.5/s ETA=15326s
[42000/156194] success=42000 failed=0 rate=7.5/s ETA=15293s
[42200/156194] success=42200 failed=0 rate=7.5/s ETA=15267s
[42400/156194] success=42400 failed=0 rate=7.5/s ETA=15239s
[42600/156194] success=42600 failed=0 rate=7.5/s ETA=15219s
[42800/156194] success=42800 failed=0 rate=7.5/s ETA=15194s
[43000/156194] success=43000 failed=0 rate=7.5/s ETA=15182s
[43200/156194] success=43200 failed=0 rate=7.5/s ETA=15153s
[43400/156194] success=43400 failed=0 rate=7.5/s ETA=15123s
[43600/156194] success=43600 failed=0 rate=7.5/s ETA=15096s
[43800/156194] success=43800 failed=0 rate=7.5/s ETA=15076s
[44000/156194] success=44000 failed=0 rate=7.5/s ETA=15045s
[44200/156194] success=44200 failed=0 rate=7.5/s ETA=15019s
[44400/156194] success=44400 failed=0 rate=7.5/s ETA=14977s
[44600/156194] success=44600 failed=0 rate=7.5/s ETA=14956s
[44800/156194] success=44800 failed=0 rate=7.5/s ETA=14925s
[45000/156194] success=45000 failed=0 rate=7.5/s ETA=14897s
[45200/156194] success=45200 failed=0 rate=7.5/s ETA=14859s
[45400/156194] success=45400 failed=0 rate=7.5/s ETA=14845s
[45600/156194] success=45600 failed=0 rate=7.5/s ETA=14816s
[45800/156194] success=45800 failed=0 rate=7.5/s ETA=14783s
[46000/156194] success=46000 failed=0 rate=7.5/s ETA=14744s
[46200/156194] success=46200 failed=0 rate=7.5/s ETA=14721s
[46400/156194] success=46400 failed=0 rate=7.5/s ETA=14692s
[46600/156194] success=46600 failed=0 rate=7.5/s ETA=14663s
[46800/156194] success=46800 failed=0 rate=7.5/s ETA=14635s
[47000/156194] success=47000 failed=0 rate=7.5/s ETA=14608s
[47200/156194] success=47200 failed=0 rate=7.5/s ETA=14581s
[47400/156194] success=47400 failed=0 rate=7.5/s ETA=14564s
[47600/156194] success=47600 failed=0 rate=7.5/s ETA=14555s
[47800/156194] success=47800 failed=0 rate=7.5/s ETA=14526s
[48000/156194] success=48000 failed=0 rate=7.5/s ETA=14496s
[48200/156194] success=48200 failed=0 rate=7.5/s ETA=14468s
[48400/156194] success=48400 failed=0 rate=7.5/s ETA=14443s
[48600/156194] success=48600 failed=0 rate=7.5/s ETA=14416s
[48800/156194] success=48800 failed=0 rate=7.5/s ETA=14383s
[49000/156194] success=49000 failed=0 rate=7.5/s ETA=14355s
[49200/156194] success=49200 failed=0 rate=7.5/s ETA=14328s
[49400/156194] success=49400 failed=0 rate=7.5/s ETA=14291s
[49600/156194] success=49600 failed=0 rate=7.5/s ETA=14264s
[49800/156194] success=49800 failed=0 rate=7.5/s ETA=14237s
[50000/156194] success=50000 failed=0 rate=7.5/s ETA=14209s
[50200/156194] success=50200 failed=0 rate=7.5/s ETA=14181s
[50400/156194] success=50400 failed=0 rate=7.5/s ETA=14152s
[50600/156194] success=50600 failed=0 rate=7.5/s ETA=14123s
[50800/156194] success=50800 failed=0 rate=7.5/s ETA=14095s
[51000/156194] success=51000 failed=0 rate=7.5/s ETA=14065s
[51200/156194] success=51200 failed=0 rate=7.5/s ETA=14036s
[51400/156194] success=51400 failed=0 rate=7.5/s ETA=14013s
[51600/156194] success=51600 failed=0 rate=7.5/s ETA=13984s
[51800/156194] success=51800 failed=0 rate=7.5/s ETA=13949s
[52000/156194] success=52000 failed=0 rate=7.5/s ETA=13928s
[52200/156194] success=52200 failed=0 rate=7.5/s ETA=13898s
[52400/156194] success=52400 failed=0 rate=7.5/s ETA=13871s
[52600/156194] success=52600 failed=0 rate=7.5/s ETA=13851s
[52800/156194] success=52800 failed=0 rate=7.5/s ETA=13811s
[53000/156194] success=53000 failed=0 rate=7.5/s ETA=13789s
[53200/156194] success=53200 failed=0 rate=7.5/s ETA=13757s
[53400/156194] success=53400 failed=0 rate=7.5/s ETA=13729s
[53600/156194] success=53600 failed=0 rate=7.5/s ETA=13701s
[53800/156194] success=53800 failed=0 rate=7.5/s ETA=13681s
[54000/156194] success=54000 failed=0 rate=7.5/s ETA=13643s
[54200/156194] success=54200 failed=0 rate=7.5/s ETA=13615s
[54400/156194] success=54400 failed=0 rate=7.5/s ETA=13586s
[54600/156194] success=54600 failed=0 rate=7.5/s ETA=13558s
[54800/156194] success=54800 failed=0 rate=7.5/s ETA=13529s
