PyTorch CUDA: True
GPU: NVIDIA RTX A6000
Loading ArcFace model...
Available ONNX providers: ['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider']
  Using providers: ['CUDAExecutionProvider', 'CPUExecutionProvider']
Model loaded!
Total observations to re-embed: 156194
[80000/156194] success=80000 failed=0 rate=173.1/s ETA=440s
[80500/156194] success=80500 failed=0 rate=173.0/s ETA=438s
[81000/156194] success=81000 failed=0 rate=172.9/s ETA=435s
[81500/156194] success=81500 failed=0 rate=172.7/s ETA=433s
[82000/156194] success=82000 failed=0 rate=172.5/s ETA=430s
[82500/156194] success=82500 failed=0 rate=172.4/s ETA=427s
[83000/156194] success=83000 failed=0 rate=172.5/s ETA=424s
[83500/156194] success=83500 failed=0 rate=170.6/s ETA=426s
[84000/156194] success=84000 failed=0 rate=170.5/s ETA=423s
[84500/156194] success=84500 failed=0 rate=170.3/s ETA=421s
[85000/156194] success=85000 failed=0 rate=170.3/s ETA=418s
[85500/156194] success=85500 failed=0 rate=170.3/s ETA=415s
[86000/156194] success=86000 failed=0 rate=172.1/s ETA=408s
[86500/156194] success=86500 failed=0 rate=172.2/s ETA=405s
[87000/156194] success=87000 failed=0 rate=172.0/s ETA=402s
[87500/156194] success=87500 failed=0 rate=171.7/s ETA=400s
[88000/156194] success=88000 failed=0 rate=171.6/s ETA=397s
[88500/156194] success=88500 failed=0 rate=170.1/s ETA=398s
[89000/156194] success=89000 failed=0 rate=170.0/s ETA=395s
[89500/156194] success=89500 failed=0 rate=170.0/s ETA=392s
[90000/156194] success=90000 failed=0 rate=169.8/s ETA=390s
[90500/156194] success=90500 failed=0 rate=171.0/s ETA=384s
[91000/156194] success=91000 failed=0 rate=171.0/s ETA=381s
[91500/156194] success=91500 failed=0 rate=171.1/s ETA=378s
[92000/156194] success=92000 failed=0 rate=171.0/s ETA=375s
[92500/156194] success=92500 failed=0 rate=171.0/s ETA=372s
[93000/156194] success=93000 failed=0 rate=171.1/s ETA=369s
[93500/156194] success=93500 failed=0 rate=171.3/s ETA=366s
[94000/156194] success=94000 failed=0 rate=171.2/s ETA=363s
[94500/156194] success=94500 failed=0 rate=171.3/s ETA=360s
